id,question,answer,context,difficulty
527,Что означает распространение информации в Российской Федерации?,"Распространение информации в Российской Федерации осуществляется свободно при соблюдении требований, установленных законодательством.","В Российской Федерации распространение информации осуществляется свободно при соблюдении требований, установленных законодательством Российской Федерации.",medium
528,"Какая информация должна содержаться в сведениях, распространяемых без использования средств массовой информации?","В сведениях, распространяемых без использования средств массовой информации, должна содержаться достоверная информация о лице, которое их распространяет.","Информация, распространяемая без использования средств массовой информации, должна включать в себя достоверные сведения о ее обладателе или об ином лице, распространяющем информацию, в форме и в объеме, которые достаточны для идентификации такого лица.",medium
529,Какие данные обязан размещать владелец сайта в сети 'Интернет' согласно данному тексту?,"Владелец сайта в сети 'Интернет' обязан разместить на принадлежащем ему сайте информацию о своем наименовании, месте нахождения и адресе, адресе электронной почты для направления заявления, указанного в статье 15.7 настоящего Федерального закона.","Владелец сайта в сети 'Интернет' обязан разместить на принадлежащем ему сайте информацию о своих наименовании, месте нахождения и адресе, адресе электронной почты для направления заявления, указанного в статье 15.7 настоящего Федерального закона, а также вправе предусмотреть возможность направления этого заявления посредством заполнения электронной формы на сайте в сети 'Интернет'.",easy
530,"Какое обязательство возникает у лица, распространяющего информацию, при использовании средств для определения получателей?","Лицо, распространяющее информацию, обязано обеспечить получателю информации возможность отказа от такой информации.","При использовании для распространения информации средств, позволяющих определять получателей, в том числе почтовых отправлений и электронных сообщений, лицо, распространяющее информацию, обязано обеспечить получателю информации возможность отказа от такой информации.",easy
531,"Какие виды средств распространения информации, по тексту, требуют от лица распространения информации обеспечения возможности отказа получателя?",Это почтовые отправления и электронные сообщения.,"При использовании для распространения информации средств, позволяющих определять получателей, в том числе почтовых отправлений и электронных сообщений, лицо, распространяющее информацию, обязано обеспечить получателю информации возможность отказа от такой информации.",medium
532,Каким образом осуществляется предоставление информации?,"Предоставление информации осуществляется в порядке, который устанавливается соглашением лиц, участвующих в обмене информацией.","Предоставление информации осуществляется в порядке, который устанавливается соглашением лиц, участвующих в обмене информацией.",easy
533,Что определяет порядок предоставления информации?,"Порядок предоставления информации определяется соглашением лиц, участвующих в обмене информацией.","Предоставление информации осуществляется в порядке, который устанавливается соглашением лиц, участвующих в обмене информацией.",medium
534,Какие законы определяют случаи и условия обязательного распространения информации?,"Случаи и условия обязательного распространения информации, в том числе предоставление обязательных экземпляров документов, устанавливаются федеральными законами.","5. Случаи и условия обязательного распространения информации или предоставления информации, в том числе предоставление обязательных экземпляров документов, устанавливаются федеральными законами.",easy
535,Каким образом устанавливаются случаи обязательного распространения информации?,"Случаи и условия обязательного распространения информации, в том числе предоставление обязательных экземпляров документов, устанавливаются федеральными законами.","5. Случаи и условия обязательного распространения информации или предоставления информации, в том числе предоставление обязательных экземпляров документов, устанавливаются федеральными законами.",medium
536,Какие виды информации запрещены распространять согласно данному тексту?,"Запрещается распространение информации, которая направлена на пропаганду войны, разжигание национальной, расовой или религиозной ненависти и вражды, а также иной информации, за распространение которой предусмотрена уголовная или административная ответственность.","Запрещается распространение информации, которая направлена на пропаганду войны, разжигание национальной, расовой или религиозной ненависти и вражды, а также иной информации, за распространение которой предусмотрена уголовная или административная ответственность.",easy
537,Какая ответственность предусмотрена за распространение определенных видов информации?,За распространение таких видов информации предусмотрена уголовная или административная ответственность.,"Запрещается распространение информации, которая направлена на пропаганду войны, разжигание национальной, расовой или религиозной ненависти и вражды, а также иной информации, за распространение которой предусмотрена уголовная или административная ответственность.",medium
538,"Какое действие запрещено в отношении материалов, производимых иностранным агентом?","Запрещается распространение материалов, производимых и (или) распространяемых иностранным агентом в связи с осуществлением им вида деятельности, установленного статьей 4 Федерального закона от 14 июля 2022 года N 255-ФЗ 'О контроле за деятельностью лиц, находящихся под иностранным влиянием'.","Запрещается распространение материалов, производимых и (или) распространяемых иностранным агентом в связи с осуществлением им вида деятельности, установленного статьей 4 Федерального закона от 14 июля 2022 года N 255-ФЗ 'О контроле за деятельностью лиц, находящихся под иностранным влиянием', а также информации, касающейся вида деятельности, установленного статьей 4 Федерального закона от 14 июля 2022 года N 255-ФЗ 'О контроле за деятельностью лиц, находящихся под иностранным влиянием', без указания на то, что эти материалы (информация) произведены и (или) распространены иностранным агентом.",medium
539,"Кто должен быть указан при распространении материалов, произведенных иностранным агентом?","При распространении материалов, произведенных иностранным агентом, должен быть указан сам иностранный агент.","Форма, требования к размещению и порядок размещения такого указания устанавливаются Правительством Российской Федерации.",easy
540,Какие виды деятельности запрещены при предоставлении государственных и муниципальных услуг?,"При предоставлении государственных и муниципальных услуг запрещена кредитная деятельность, использование информационных систем и программ для электронных вычислительных машин, предназначенных для обмена сообщениями, а также передача платежных документов и информации о счетах.","Запрещается при предоставлении государственных и муниципальных услуг, выполнении государственного или муниципального задания, а также при реализации государственными компаниями, государственными и муниципальными унитарными предприятиями, публично-правовыми компаниями, хозяйственными обществами, в уставном капитале которых доля участия Российской Федерации, субъекта Российской Федерации, муниципального образования в совокупности превышает пятьдесят процентов, кредитными организациями, некредитными финансовыми организациями, которые осуществляют указанные в части первой статьи 76.1 Федерального закона от 10 июля 2002 года N 86-ФЗ 'О Центральном банке Российской Федерации (Банке России)' виды деятельности,…",hard
541,Когда была введена часть 8 данного текста?,Часть 8 данного текста была введена Федеральным законом от 29.12.2022 N 584-ФЗ.,"8. Запрещается при предоставлении государственных и муниципальных услуг, выполнении государственного или муниципального задания, а также при реализации государственными компаниями, государственными и муниципальными унитарными предприятиями, публично-правовыми компаниями, хозяйственными обществами, в уставном капитале которых доля участия Российской Федерации, субъекта Российской Федерации, муниципального образования в совокупности превышает пятьдесят процентов,…",easy
542,"Какая деятельность запрещена в отношении информационных систем, указанных в статье?","Запрещается подключение к информационным системам и (или) программам для электронных вычислительных машин, указанным в части 8 настоящей статьи, иных информационных систем, обеспечивающее возможность перевода денежных средств граждан Российской Федерации в рамках применяемых форм безналичных расчетов.","Запрещается подключение к информационным системам и (или) программам для электронных вычислительных машин, указанным в части 8 настоящей статьи, иных информационных систем, обеспечивающее возможность перевода денежных средств граждан Российской Федерации в рамках применяемых форм безналичных расчетов.",easy
543,Что именно не разрешено делать с указанными информационными системами?,"Не разрешено подключаться к таким системам, которые позволяют переводить денежные средства.","Запрещается подключение к информационным системам и (или) программам для электронных вычислительных машин, указанным в части 8 настоящей статьи, иных информационных систем, обеспечивающее возможность перевода денежных средств граждан Российской Федерации в рамках применяемых форм безналичных расчетов.",medium
544,Какие системы и программы размещаются на официальном сайте федерального органа?,"На официальном сайте размещается перечень информационных систем и (или) программ для электронных вычислительных машин, указанных в части 8 настоящей статьи.","Федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, размещает на своем официальном сайте в сети 'Интернет' перечень информационных систем и (или) программ для электронных вычислительных машин, указанных в части 8 настоящей статьи.",easy
545,Кто определяет порядок формирования и размещения перечня информационных систем?,"Порядок формирования и размещения такого перечня определяется федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи.","Порядок формирования и размещения такого перечня определяется федеральным органом исполнительной власти, осуществляющим функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи.",medium
546,Что определено Федеральным законом от 05.05.2014 N 97-ФЗ?,"Федеральным законом от 05.05.2014 N 97-ФЗ определены некоторые положения, касающиеся [прописанных в законе вопросов].",(введена Федеральным законом от 05.05.2014 N 97-ФЗ),easy
547,"Какое число содержит федеральный закон, упоминаемый в тексте?",Федеральный закон содержит число 97.,(введена Федеральным законом от 05.05.2014 N 97-ФЗ),easy
548,"Кто является организатором распространения информации в сети 'Интернет', согласно данному тексту?","Лицо, осуществляющее деятельность по обеспечению функционирования информационных систем и (или) программ для электронных вычислительных машин, которые предназначены и (или) используются для приема, передачи, доставки и (или) обработки электронных сообщений пользователей сети 'Интернет'.","Организатором распространения информации в сети 'Интернет' является лицо, осуществляющее деятельность по обеспечению функционирования информационных систем и (или) программ для электронных вычислительных машин, которые предназначены и (или) используются для приема, передачи, доставки и (или) обработки электронных сообщений пользователей сети 'Интернет'.",easy
549,"Какие функции выполняет лицо, которое является организатором распространения информации в сети 'Интернет'?","Оно обеспечивает функционирование информационных систем и (или) программ для электронных вычислительных машин, предназначенных для приема, передачи, доставки и обработки электронных сообщений пользователей сети 'Интернет'.","Организатором распространения информации в сети 'Интернет' является лицо, осуществляющее деятельность по обеспечению функционирования информационных систем и (или) программ для электронных вычислительных машин, которые предназначены и (или) используются для приема, передачи, доставки и (или) обработки электронных сообщений пользователей сети 'Интернет'.",medium
550,Какую обязанность несет перед федеральными органами власти организатор распространения информации в сети 'Интернет'?,"Организатор распространения информации в сети 'Интернет' обязан уведомить федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, о начале осуществления деятельности.","Организатор распространения информации в сети 'Интернет' обязан в установленном Правительством Российской Федерации порядке уведомить федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, о начале осуществления деятельности, указанной в части 1 настоящей статьи.",easy
551,В каком порядке должен уведомить оператор о начале своей деятельности?,Организатор должен уведомить оператор в установленном Правительством Российской Федерации порядке.,"Организатор распространения информации в сети 'Интернет' обязан в установленном Правительством Российской Федерации порядке уведомить федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору в сфере средств массовой информации, массовых коммуникаций, информационных технологий и связи, о начале осуществления деятельности, указанной в части 1 настоящей статьи.",medium
552,В течение какого срока организатор распространения информации обязан хранить информацию о пользователях сети 'Интернет'?,Организатор распространения информации в сети 'Интернет' обязан хранить информацию об этих пользователях в течение одного года с момента окончания осуществления таких действий.,"1) информацию о фактах приема, передачи, доставки и (или) обработки голосовой информации, письменного текста, изображений, звуков, видео- или иных электронных сообщений пользователей сети 'Интернет' и информацию об этих пользователях в течение одного года с момента окончания осуществления таких действий;",medium
553,Какую информацию должен хранить организатор сети 'Интернет'?,"Организатор сети 'Интернет' должен хранить информацию о фактах приема, передачи, доставки и (или) обработки голосовой информации, письменного текста, изображений, звуков, видео- или иных электронных сообщений пользователей.","1) информацию о фактах приема, передачи, доставки и (или) обработки голосовой информации, письменного текста, изображений, звуков, видео- или иных электронных сообщений пользователей сети 'Интернет' и информацию об этих пользователях в течение одного года с момента окончания осуществления таких действий;",easy
554,В каких случаях организатор распространения информации в сети 'Интернет' обязан предоставлять информацию уполномоченным государственным органам?,"Организатор распространения информации в сети 'Интернет' обязан предоставлять указанную в части 3 настоящей статьи информацию уполномоченным государственным органам, осуществляющим оперативно-разыскную деятельность или обеспечение безопасности Российской Федерации, в случаях, установленных федеральными законами.","3. Организатор распространения информации в сети 'Интернет' обязан предоставлять указанную в части 3 настоящей статьи информацию уполномоченным государственным органам, осуществляющим оперативно-разыскную деятельность или обеспечение безопасности Российской Федерации, в случаях, установленных федеральными законами.",easy
555,Когда была введена в силу данная норма (п. 3.1)?,Данная норма (п. 3.1) была введена в силу 6 июля 2016 года.,(п. 3.1 введен Федеральным законом от 06.07.2016 N 374-ФЗ; в ред. Федерального закона от 29.07.2017 N 241-ФЗ),medium
556,"Кто обязан обеспечивать соответствие оборудования и программно-технических средств организаторов распространения информации в сети 'Интернет' требованиям, установленным государственными органами?","Организатор распространения информации в сети 'Интернет' обязан обеспечивать реализацию требований, установленных государственными органами.","Организатор распространения информации в сети 'Интернет' обязан обеспечивать реализацию установленных федеральным органом исполнительной власти в области связи по согласованию с уполномоченными государственными органами, осуществляющими оперативно-разыскную деятельность или обеспечение безопасности Российской Федерации, требований к оборудованию и программно-техническим средствам, используемым указанным организатором в эксплуатируемых им информационных системах, для проведения этими органами в случаях, установленных федеральными законами, мероприятий в целях реализации возложенных на них задач, а также принимать меры по недопущению раскрытия организационных и тактических приемов проведения данных мероприятий.",hard
557,Какая задача лежит в основе взаимодействия организаторов распространения информации в сети 'Интернет' с государственными органами?,"Основная задача - предотвратить раскрытие организационных и тактических приемов проведения мероприятий, осуществляемых этими органами.","Порядок взаимодействия организаторов распространения информации в сети 'Интернет' с уполномоченными государственными органами, осуществляющими оперативно-разыскную деятельность или обеспечение безопасности Российской Федерации, устанавливается Правительством Российской Федерации.",medium
558,Какие обязанности возлагаются на организатора распространения информации в сети 'Интернет'?,"Организатор распространения информации в сети 'Интернет' обязан при использовании для приема, передачи, доставки и (или) обработки электронных сообщений пользователей сети 'Интернет' дополнительно кодировать электронные сообщения и (или) предоставлять пользователям сети 'Интернет' возможность дополнительного кодирования электронных сообщений, а также представлять в федеральный орган исполнительной власти в области обеспечения безопасности информацию, необходимую для декодирования принимаемых, передаваемых, доставляемых и (или) обрабатываемых электронных сообщений.","Организатор распространения информации в сети 'Интернет' обязан при использовании для приема, передачи, доставки и (или) обработки электронных сообщений пользователей сети 'Интернет' дополнительно кодировать электронные сообщения и (или) предоставлять пользователям сети 'Интернет' возможность дополнительного кодирования электронных сообщений, а также представлять в федеральный орган исполнительной власти в области обеспечения безопасности информацию, необходимую для декодирования принимаемых, передаваемых, доставляемых и (или) обрабатываемых электронных сообщений.",medium
559,Какую информацию необходимо представлять организатору распространения информации в сеть 'Интернет' в федеральный орган исполнительной власти?,"Организатору распространения информации в сеть 'Интернет' необходимо представлять информацию, необходимую для декодирования принимаемых, передаваемых, доставляемых и (или) обрабатываемых электронных сообщений.","Организатор распространения информации в сети 'Интернет' обязан при использовании для приема, передачи, доставки и (или) обработки электронных сообщений пользователей сети 'Интернет' дополнительно кодировать электронные сообщения и (или) предоставлять пользователям сети 'Интернет' возможность дополнительного кодирования электронных сообщений представлять в федеральный орган исполнительной власти в области обеспечения безопасности информацию, необходимую для декодирования принимаемых, передаваемых, доставляемых и (или) обрабатываемых электронных сообщений.",easy
560,Какая обязанность возложена на организатора сервиса обмена мгновенными сообщениями в отношении идентификации пользователей?,"Организатор сервиса обмена мгновенными сообщениями обязан осуществлять идентификацию пользователей сети 'Интернет', передачу электронных сообщений которых осуществляет организатор сервиса, по абонентскому номеру оператора подвижной радиотелефонной связи в порядке, установленном Правительством Российской Федерации, на основании договора об идентификации.","1) осуществлять идентификацию пользователей сети 'Интернет', передачу электронных сообщений которых осуществляет организатор сервиса обмена мгновенными сообщениями (далее - пользователи сервиса обмена мгновенными сообщениями), по абонентскому номеру оператора подвижной радиотелефонной связи в порядке, установленном Правительством Российской Федерации, на основании договора об идентификации, заключенного организатором сервиса обмена мгновенными сообщениями с оператором подвижной радиотелефонной связи, за исключением случаев, предусмотренных настоящим Федеральным законом;",medium
561,Что требуется от организатора сервиса обмена мгновенными сообщениями в случае получения требования от уполномоченного федерального органа?,"Организатор сервиса обмена мгновенными сообщениями обязан ограничить возможность передачи электронных сообщений пользователем, указанным в требовании, и обеспечить техническую возможность отказа пользователей от получения электронных сообщений.","2) в течение суток с момента получения соответствующего требования уполномоченного федерального органа исполнительной власти ограничить возможность осуществления пользователем сервиса обмена мгновенными сообщениями, указанным в этом требовании, передачи электронных сообщений, содержащих информацию, распространение которой в Российской Федерации запрещено, а также информацию, распространяемую с нарушением требований законодательства Российской Федерации, в порядке, определенном Правительством Российской Федерации; 3) обеспечивать техническую возможность отказа пользователей сервиса обмена мгновенными сообщениями от получения электронных сообщений от других пользователей;",medium
562,Кто имеет право самостоятельно идентифицировать пользователей сервиса обмена мгновенными сообщениями?,"Организатор сервиса обмена мгновенными сообщениями, являющийся российским юридическим лицом или гражданином Российской Федерации, имеет право самостоятельно идентифицировать пользователей.","Организатор сервиса обмена мгновенными сообщениями, являющийся российским юридическим лицом или гражданитом Российской Федерации, вправе осуществлять идентификацию пользователей сервиса обмена мгновенными сообщениями самостоятельно путем определения абонентского номера подвижной радиотелефонной связи пользователя сервиса обмена мгновенными сообщениями.",easy
563,Какие требования к порядку определения абонентского номера подвижной радиотелефонной связи могут устанавливать?,Правительством Российской Федерации могут устанавливаться требования к порядку определения абонентского номера подвижной радиотелефонной связи пользователем.,"Правительством Российской Федерации могут устанавливаться требования к порядку определения абонентского номера подвижной радиотелефонной связи пользователя сервиса обмена мгновенными сообщениями организатором сервиса обмена мгновенными сообщениями, являющимся российским юридическим лицом или гражданитом Российской Федерации.",medium
564,На какой территории обязан хранить сведения об идентификации абонентского номера подвижной радиотелефонной связи пользователя сервиса обмена мгновенными сообщениями организатор сервиса?,Организатор сервиса обмена мгновенными сообщениями обязан хранить сведения об идентификации абонентского номера подвижной радиотелефонной связи пользователя сервиса обмена мгновенными сообщениями только на территории Российской Федерации.,"Организатор сервиса обмена мгновенными сообщениями, являющийся российским юридическим лицом или гражданином Российской Федерации, обязан хранить сведения об идентификации абонентского номера подвижной радиотелефонной связи пользователя сервиса обмена мгновенными сообщениями (далее - идентификационные сведения об абонентском номере) только на территории Российской Федерации.",easy
565,Кто должен предоставить доказательство получения согласия пользователя на предоставление его идентификационных сведений об абонентском номере третьим лицам?,Обязанность предоставить доказательство получения согласия пользователя сервиса обмена мгновенными сообщениями на предоставление третьим лицам идентификационных сведений об абонентском номере возлагается на организатора сервиса обмена мгновенными сообщениями.,Обязанность предоставить доказательство получения согласия пользователя сервиса обмена мгновенными сообщениями на предоставление третьим лицам идентификационных сведений об абонентском номере данного пользователя сервиса обмена мгновенными сообщениями возлагается на организатора сервиса обмена мгновенными сообщениями.,easy
